,content,score
222,东西还是可以，但是没买多久，商品就降价了，伤心的啊,1
223,除了手机其他赠品全不能用,1
224,刚买完没几天就降价，靠,1
225,手机充电线充不了电了，坏了,1
226,几天就降价了，明明写了保价，却不可以,1
227,才买没几天就降价也是服了,1
228,用了十几天摄像头突然出现异物，伤心。,1
229,一发烫手机触屏就断触，不愧是发烧手机,1
230,买了一个月不到，降了二百，还不能保价，不舒服,1
231,耳机都没有买什么,1
232,才用没几天这个关机键就有点不好按了,1
233,感觉手机用的不爽,1
234,刚买几天就降一百、以后还是会再降价,1
235,坐等客服上线退货,1
236,卡机两次了，受不了,1
237,有几个小问题，退了,1
238,耳机不行客服赖账，,1
239,标准配置都达不到,1
240,没有送无线充电宝,1
241,小米九真的不好用,1
242,客服服务态度差,1
243,为什么不配耳机,1
244,产品不错，不过中间别的都是快递员的错，所以差评,1
245,买不到一个月就开始送充电宝,1
246,买完第二天降，优秀,1
247,十天不到降价了，还不能保价,1
248,电池不耐造，一天充两次,1
249,没有说的那么好，不值那么多钱,1
250,服了，616买的说全程价保，然后618有优惠券不给价保？,1
251,没送耳机钢化膜，不开心,1
252,不卡，就是没啥送的钢化膜都没用,1
253,手机很好，但是没有耳机，我不喜欢,1
254,刚买就降价，申请报价还不通过，绝了，生气。,1
255,服务态度不好，不是说有价保的结果我的就没有价保,1
256,买了没几天就开始降价，和魅族一个尿性,1
257,手机右上角油漆脱落真怀疑是不是翻新机！！！,1
258,新到手机开不了机，充不进去电。,1
259,用久了卡，不仅手机卡，网也卡,1
260,买来10天还没用降价3佰，不保值，还不能退,1
261,贵重物品都不填充东西的啊，手机外包装有明显的破损,1
262,大家千万不要上当买了用了一天卡了三回,1
263,断流断流断流！！重要的事情说三遍！,1
264,感觉一般，重点是物流真的不行！！！,1
265,视频模糊，问客服告诉~的问题，我也是服了,1
266,刚买几天就降300还送无线充。。。。。不是说618全程保价吗？？？？？？,1
267,前置摄像头不能正常使用。服务沟通  不来,1
268,手机信号好差看个视频网卡,1
269,一次另人不愉快的购物，连小米官网的福利的不如，失败！不爽！,1
270,前天刚买今天就降价，怎么搞哦,1
271,老是黑屏，是不是赶工的都不好，,1
272,不好会自动关机，返修后看一下吧。,1
273,等了一周才发货,1
274,用的我想吐，动不动就卡死,1
275,打王者总是闪退,1
276,买了10天不到就降价100个钢镚。。。。。极度不爽！,1
277,不是送无线充电器吗,1
278,刚买两天，就送充电宝了，不爽,1
279,真辣鸡。手机有时候没信号,1
280,看~里面的字都显示不完全。,1
281,QQ的APP登录之后会有卡屏和白屏的现象出现。,1
282,差！！！刚买没几天就降价了400块！,1
283,第一次买小米，为什么耗电这么快？,1
284,说好的送充电宝，一直不发货，订单直接取消了？？？,1
285,到货一周降价，买的红米，到货2天降价，，想死啊,1
286,买了8天才到货，自己看着办,1
287,额，小米的手机用了很多。现在连耳机都不送了？？？？,1
288,像素不行  手机卡顿  不会再买小米了,1
289,感觉手感怎么那么差呢，不会是水货吧,1
290,指纹解锁经常打不开，。感觉有点鸡肋。,1
291,这次最差一次京东购物，四天还没发出一个冲电宝。,1
292,大猩猩玻璃已出现划痕  一个月不到！,1
293,不到一周，死机了,1
294,用了几天死机开不了机，已退,1
295,客服说好的送手机壳和钢化膜，其实并没有~,1
296,破手机，还不如小米8，用着用着就白屏了,1
297,刚买6天就降价了，郁闷。京东能不能退差价？,1
298,断流，网速不好，换几个卡还是那样,1
299,最后悔买的一个手机。刚买小米9不久来一个红米k20性价比比小米9高这么多。,1
300,价格保护是纸糊的吗，说变就变，降了几百块，呵呵！,1
301,打王者总黑屏，真的服了一直黑屏,1
302,为啥我没确定收货，系统自动给我收货了？,1
303,买了两个星期降价了。。。价保只有七天，不是很爽?,1
304,千万不能买京东销售产品不能提供售后保障，产品出现问题需要自己联系商家,1
305,无线充电刚开始怎么放都能充，现在充不了,1
306,没有想像中的那么好,1
307,指纹不怎么好事！！,1
308,黑，买几天就2999 还在让价格保护，送个破礼品值300？,1
309,卡1无法识别，卡2可以，是什么情况？,1
310,手机不错，就是买完就降价了，也不给申请价保，客服也不管，差评！,1
311,手机才用了一个多月，主板就坏了,1
312,什么?⑧手机，听歌听着听着就没声音了，,1
313,东西有挤压 要求退货,1
314,售后服务不到位，客服三句话离不开甩锅，消费者权益得不到保障,1
315,说的无线充电结果不配送无线充电座？,1
316,东西还行，1星送给物流，送的慢，说好的次日送达硬是延误了一天,1
317,赠品呢？几天都不发货,1
318,质量不行，还不如我的小米六，后悔买了。,1
319,感觉不怎么样比我在实体店看的还是有差距,1
320,手機有時候發燙有點嚴重,1
321,买的时候上面有赠品，发来时再问没有了，现在又有了。,1
322,抢购到 七天后才发货 之前没有任何说明 这不是之前在京东购物会遇到的情况,1
323,没有发票，相机照相也不清晰。,1
324,才买一个月就降价了200，,1
325,放电话卡哪出不来，也是服了,1
326,辣鸡，买了就降价，还不支持价格保护,1
327,特别是气，买天没有紫色的，到货第二天就有了,1
328,手机总自己按键，不好,1
329,产品有问题，屏幕有小点,1
330,手机不错，但刚买几天就降价，问客服客服连个解释都没有，说降就降,1
331,我觉得屏幕歪歪的你们感觉到了？这#的是不是假货啊,1
332,可以啊刚买一周就降价,1
333,质量不好，，，准备没有电了还蓝屏还一直闪,1
334,手机品控差，屏幕有黑点，申请换货后还有，,1
335,超差，打游戏没啥感觉,1
336,刚拿到手就 价格就降了200  心碎了,1
337,616买的，618有活动降价申请保价服务还把我京东的红包和优惠券全部全在里面，是不是过分了,1
338,买的时候说送无线钱闪充，买的时候也没说已经送完了了啊,1
339,拉圾，摄像头有问题。,1
340,一个不到月黑屏，#,1
341,手机618当天价格一天多变，2499没及时上车，打算退货，看看其他的牌子手机。,1
342,认真的吗  刚用不到一天  卡下来就这样了,1
343,换货了  原来送的配件都寄过去又回来了  手机膜也舍不得送一张啊,1
344,镜头处竟然有溢胶?,1
345,后盖这个贴片歪了，已经退货了,1
346,连个钢化膜都没有！?,1
347,一个月的时间又便宜了200多块钱。????,1
348,一般般 听筒声音小 还有麦克风声音小,1
349,手机拿来第二天就要更新，结果更新完开机卡住了,1
350,#第三天就自己有声自动重启了,1
351,音质是无法忍受的差呀&hellip;&hellip;,1
352,后盖被人撬开过退换机无疑,1
353,一点保护没有烂成这  没有一点软包,1
354,说是第6代玻璃我就没贴膜用了3天就划了好几道,1
355,买了就跌价！几个意思！,1
356,不送无线充电器，到手看起来也没有那木好看,1
357,声音忽大忽小，有时候无法死机。,1
358,"辣鸡手机
用了不到半个月就死机",1
359,用了一个月不到摔了一次，然后就成这#了,1
360,开机就死机，没法用！去小米体验店买的,1
361,为什么我的手机到了，没耳机，没钢化膜。也是服了,1
362,信号不好，续航也不行指纹解锁不给力,1
363,后盖有黑点，申请换货中，京东物流满分,1
364,不太理想，换了两次还是死机。,1
365,妈的买不到2星期就降价了，呵呵小米！200元啊，还是苹果好,1
366,比想象中的要差太多了，而且配送催促了整整两天才送到手,1
367,透明机身后盖有灰,1
368,Wifi连不上而且耗电也快,1
369,入手不到二十四小时，后盖碎了，不到一个月就降价了??????????????,1
370,该带的东西一个也没带，说好的无线充电宝呢？,1
371,买的手机居然膜都没有？我怀疑可能是别人买了然后退回去的，然后在卖给我？,1
372,不怎么样！有两个刮痕,1
373,使用不到半个月黑屏？nice,1
374,买的时候显示赠送壳膜套装，下单就不送了，理由是送完即止。但是一直显示赠送状态。,1
375,透明机身后盖有灰,1
376,快递包装不行 就一个小盒子  拿过来都坏了。,1
377,小米官网及各网站还在送充电宝，京东居然没有了？是卖的太多了，还是没聊天记录就能不送就不送？,1
378,电池没想象的好，也没宣传的好。,1
379,买了第二天就降200，申请保价都不行说有赠品！想退又嫌麻烦,1
380,用了一个月屏幕就不灵了！呵呵,1
381,后悔的死 卡顿到崩溃  下款绝不买小米,1
382,才用几天手机指纹解锁不灵 &hellip;&hellip;主要是这态度我受不了,1
383,手机wifi问题 没有网速 换个货真慢 不买了,1
384,618隆价那么多，心里不平衡啊，起码送个东西也好，什么都没有,1
385,辣鸡手机，不到两个月就出现两次问题了,1
386,618说赠无线充电宝，结果没收到，只有手机邮过来了,1
387,退货了，不满意。,1
388,屏幕有坏点,1
389,这家店说话不算数的，答应的赠品都没有。钢化膜都没送。,1
390,收到到现在10天，中间掉了300。保价只有7天，血亏。,1
391,这个？刚买了3天？,1
392,就那样，连个耳机都没,1
393,玛德买了不到半个月就降价200块  这个差价能补么  槽,1
394,售后不行！,1
395,服务态度差,1
396,还有杂音,1
397,#才用两天就蓝屏了钢化膜一点事都没有不会是翻新机吧,1
398,相机屏幕一直闪，联系客服没回应,1
399,有点卡,1
400,什么都不用说，电池耗电快,1
401,问题没有解决,1
402,透明机身后盖有灰,1
403,不行，我1,1
404,买完就降价,1
405,明明是在质保期内，还硬是不让我免费保修，我是服了,1
406,降价贼快！能给零星不？,1
407,什么都没送。,1
408,信号不好,1
409,我去，我不管你信不信。我刚才吃鸡充电卡死机了。,1
410,拍照一般般，电池一天至少充两次,1
411,出现过屏幕解锁死机，屏幕发黄,1
412,电池不好,1
413,差,1
414,一个字（差）,1
415,没有赠品了,1
416,没有耳机,1
417,刚买了就降价！,1
418,发票都不给开？？啥玩意,1
419,没有耳机,1
420,刚买完就降价,1
421,真的不好用,1
422,玩游戏有电流声,1
423,手机老贵还少件,1
424,用了3天后壳炸裂还拒绝退货没有小米售后一半好,1
425,屏幕挺高清的，就怪当初没有认真看摄像头。,1
426,会死机，刚买10几天，死机6次了,1
427,手机速度挺快的，就是摄像头不知道怎么就碎了,1
428,送的两个东西，到一个，另一个一直显示备货，没货就不要送，小米的产能也是可以的了,1
429,为什么那里会有一个小小的胶带从里面出来,1
430,小米手机质量值得考虑，才买的怎么会现亮痕,1
431,为什么没有耳机？？？也没有充电线？？？,1
432,屏幕指纹解锁不管用，根本设定不了。,1
433,手感不好，其他还在试,1
434,信号超差差，wife也是,1
435,充电线有点小问题，有可能接触不良,1
436,贴上钢化膜，指纹压根识别不了,1
437,手机经常莫名的发烫，没玩游戏,1
438,手机好不好我不知道，但是没有耳机，开始还没货,1
439,我买的是小米9，你给我发几年前的6？？？,1
440,我想问一下，耳机的为什么没有，在实体店有,1
441,小米你告诉我应用双开打开失败是什么情况，,1
442,打个王者卡死机了3四次,1
