,content,score
12,小米9使用一周了，总结一下感受：优点：1、颜值高，外观漂亮，特别是幻彩色美啊；2、性能好，骁龙855确实强?，用起来非常流畅，个人感觉小米9是目前为止用过的最流畅的小米手机；3、拍照强，拍照强大，清晰，超广角很喜欢，还有超级夜景，也很满意；4、屏幕好，屏幕虽然是水滴屏，但是感觉很顺眼，比刘海屏好多了，息屏显示也很漂亮；5、手感好，拿在手里手感很棒；6、AI按键非常好用，可以根据需要设置不同的功能，很实用；7、充电快，27W快充，一个小时充满，还支持20W无线快充，很方便；8、性价比高，价格亲民，配置高，良心产品。缺点：1、电池稍微小点，但续航也还可以，中度用户基本可以使用一天；2、屏幕指纹速度稍微有点慢，不如第六代快；3、相机不支持光学防抖；4、后盖太容易沾染指纹，影响美观。,5
13,很不错的哦，很快，很薄，炫彩给力，功能足够用，人脸识别和指纹识别都很给力，好像还有很多未知的功能，慢慢发觉吧，小米，构建智能生活。,5
14,"外观很满意啊，不会对那个水滴有什么奇怪的感觉。
指纹解锁很快，虽然跟物理解锁差了点，需要用力按一下。运行速度也是飞快的，玩游戏很爽，画质开最高都流畅。
外放很大声，跟外挂蓝牙音响似的。
拍照差了点火候，等后期调教。
重点说说电池续航，是真的牛，待机一晚才掉3%，自动亮度刷了一节课的it之家才掉1%。超级性价比无敌。",5
15,4.2收到的，用了差不多一个月来评论的。首先手机很漂亮，就是极易沾指纹，平常带套使用，性能也很强，吃鸡一点都不卡。屏幕素质不错，电池日常也够用，配合27w快充还是很不错滴。miui广告基本可以全关，小爱同学很智能，4800w像素拍的很清楚，反正就是蛮香的。但是，马达震感不是很强。,5
16,"运行速度：系统运行速度快，没有卡顿，非常流畅。下应
用速度也快，安装的时候更快。通信音质：音质超级好
电池续航：充满后大概可以用一整天哦。充电的速度也超
级快。拍照效果：非常好，特别是超广角拍摄。",5
17,"八月初七买的小米9，第一次买小米的手机，系统稳定，速度快，这个价位是2500大概价位性价比最高的，学生党很好，也适合很多人。屏幕很好看，这个屏幕效果很好，买了好多的小米产品，充电宝，牙刷，拍照效果也不错，很多人说这个手机需要充很多次的电，3300的电池会有些小，但是已经很不错了，电池10天以来使用的还算可以，没有想象的掉电很快，喜欢的水滴屏的请尽快入手，
其他特色：支持无线充电，充电的速度很快。
买回来直接升级系统，",5
18,手感不错，运行流畅，拍照很不错，特别是48m高清，特别的清晰，当然照片内存比较大。旧的小米手机****很方便，但是如果文件多，就会很久。快递方面跟快，第二天就到了，七夕节送老婆的，老婆也很喜欢，总之这个价格不错了！,5
19,手感非常棒，屏占比很高，操作顺畅。声音音质俱佳，指纹解锁速度很快，玩游戏的时候可以调节是否全面屏，看视频的感觉特别棒。效果非常棒用着很舒服。已经上手，充电非常快，尤其是快递那叫一个快，非常赞辛苦快递小哥,5
20,外观好看，手感很不错，指纹识别很快，手机特别流畅，续航也没有别人说的那么差，重度使用一天一充足够了，而且充电也挺快的。送的无线充电宝也很好用，总之就是非常满意，全五星好评！,5
21,个人感觉小米9是目前为止用过的最流畅的小米手机;拍照强，拍照强大，清晰，超广角很喜欢，还有超级夜景，也很满意;屏幕好，屏幕虽然是水滴屏，但是感觉很顺眼，比刘海屏好多了，息屏显示也很漂亮;手感好，拿在手里手感很棒; AI按键非常好用，可以根据需要设置不同的功能，很实用;充电快，27W快充，一个小时充满，还支持20W无线快充，很方便;性价比高，价格亲民，配置高，良心产品。,5
22,米⑨用了一周了，很不错的哟。摄像功能强大是米⑨的优势。超广角，可以拍微距。拍花朵的时候，背景自动是模糊的。对焦特别快。4800万像素的，不能变焦。后边摄像头凸出来了，贴了钢化膜。处理器很好，手机很快。没有耳机孔 需要用转换插头。另外充电很快，有线的一个小时充满。但是耗电很快，出门一天必须必须要带充电宝。满电大概用到中午，就只有百分之三十了。,5
23,首先这款手机颜值真是非常高，正面反面都特别好看，再说拍照功能，不亏是4800万像素，拍照超级清晰，功能强大，前置摄像头也特别清晰，我买的低配版的，运行速度特别流畅，反应很快，屏幕指纹识别功能强大，无线充电更是牛，一直喜欢小米手机，性价比超高，,5
24,简直完美，抢了好几次，终于抢到了紫色，好看，颜色比官网的漂亮，舒服，没有图片那种塑料感，摸起来手感高级，舒服，运行流畅，系统依旧是熟悉的MIUI，小爱同学更可爱，好评！,5
25,京东的服务很好，很快。第二天就拿到手机了。小米9设计很轻薄，系统极速。骁龙855真的是十分流畅。电池虽然很小，但是充电速度很快，50分钟能保证充到90%以上。在一定程度上，弥补了电池小的不足。日常各种使用，都挺不错。系统容易上手。就是防误触这个功能还没调好。放在口袋里面很容易误触。希望更新系统能改进这个功能。,5
26,屏幕真的好大，非常棒！电信双卡美滋滋(开通volte)，再也不要用两个手机了，红外线遥控，nfc闪付，充公交卡，刷公交特别方便，拍照杠杠的！,5
27,"米酒真的不错！网页加载快，视频播放流畅，音乐外放声大，游戏无卡顿，真的是良心之作！上一新MI5SP,因不喜欢它的造型，准备退给儿子或老婆。这部希望能战到换5G！支持小米！",5
28,"给家里老婆大人买的，总结一下感受1、颜值高，外观漂亮，特别是幻彩色美啊；2、性能好，骁龙855确实强?，用起来超级流畅，目前为止用过的最流畅的小米手机；3、拍照强，拍照强大，清晰，超广角很喜欢，还有超级夜景，也很满意；4、屏幕好，屏幕虽然是水滴屏，但是感觉很顺眼，比刘海屏好多了，息屏显示也很漂亮；5、手感好，拿在手里手感很棒。
这个电池相对有点小，不过充电很快。绝对OK",5
29,用了两周才评价。手机系统很快，手感不错。萍内指纹识别常几秒识别不出来，要配合脸部识别才好用。玩吃鸡很顺手1，相机效果很好，特别加载了谷歌相机后。电池掉电确实比较快，一天两充吧，晚上睡前90%，放到早上剩79%，边充电边洗刷，出门前充满，下班到家得充。送的套套不好，保护不了镜头，需要自己另买，不贴膜还是会划花的。用了一周才贴膜，已花一道痕。,5
30,手机很好用，没有任何问题，使用顺畅，电池也耐用，爱奇艺看了两个小时电影，最高画质，最高音量，最大亮度，杜比音效，只用了13的电,5
31,宝贝收到了，用了好几天了，挺好的，手感很好，解锁很快，屏幕指纹特别好用，用前置指纹解锁用惯了，挺好的，手机很轻薄，很好看，拍照像素果然名不虚传，4800万超赞。续航方面不太好，之前的手机是4000毫安的，这个电池相对有点小，不过充电很快，从19开始充到100一个小时左右，挺好的。赞,5
32,一直支持国货，留意了几种国产手机型号，在网上看了很多别人的评价以及手机参数，综合考了几天。感觉这款机型性价比最高。京东商城也是我理想的购物平台，物流超快（自营发货基本都是次日收货），质量信得过。这次也没让我失望，昨天晚上11点左右下单，今天上午就收到。小米九屏幕显示清晰，色彩非常好运行速度:完全没感觉到卡顿，我玩的王者跟吃鸡的音质、通话的音质都很好，续航目前感觉还不错，充电超快，拍照清晰。简直爱不释手。,5
33,"小米9外观很好看,屏幕屏占比高 看着很顺眼 屏下指纹快捷方便 比背部指纹好用多了 无线充电速度很快 比米8有线充电还快, 非常满意. 手机运行流畅 内存大 储存大 屏幕大 玩游戏看电影都很流畅. 送的无线车充也非常好用,自动锁紧,颜值高,强烈推荐这款",5
34,手机速度还可以，玩刺激战场全开很快，安兔兔测试为性能最好的手机，这款手机一切都很好，就是有一个缺点就是用电太快了，玩几把游戏就显示没电了，还好充电速度也很快，一个多小时就充满电了，像素很好出去拍外景就像照相机拍的一样，效果很好！,5
35,用了好几天了，挺好的，手感很好，解锁很快，屏幕指纹特别好用，用前置指纹解锁用惯了，挺好的，手机很轻薄，很好看，拍照像素果然名不虚传，4800万超赞。续航方面不太好，之前的手机是4000毫安的，这个电池相对有点小，不过充电很快，没电充一下也可以,5
36,好不容易才抢到，只能说真香吧，相机人像夜景都非常好，广角也很优秀，屏幕很顺滑，色度都很好，还加了很多功能，在小爱同学上优化了很多，整体系统做的非常好，很方便，所以才一直想用小米，好评～,5
37,孩子建议换手机就买小米9，果然手机拿到眼睛一亮，配置蛮高的，8*128，运行很畅，像素也高，拍照很清晣，充电很快，屏幕很大，眼睛看起来舒服，手机指纹位置方便，新机开机设置操作简单方便，很人性化。字体可设置到很大，很适合老年人，手写为深蓝色墨迹，方便视力不好的老人使用,5
38,"小米9，战斗天使，好看又能打，是小米公司旗下一款智能手机，内部代号是战斗天使，采用：高通骁龙855旗舰平台，最高配备12GB内存+256GB存储；搭载索尼三摄全焦段镜头1200万人像镜头，[1][2][3]4800万像素主摄，1600万微距+超广角；搭载6.39英寸三星AMOLED水滴屏
在视频拍摄方面，小米9 得分99，排名第一位。小米9支持960fps慢动作拍摄，支持自动配乐，支持超广角运动跟拍。
小米9支持AI防畸变，适合合影拍照，AI识别广角场景，自动提醒进入超广角场景，在超广角模式下支持4cm微距相机。小米9支持超级夜景，并且支持夜间激光对焦。小米9的月亮模式，调到最大变焦 直接拍月亮。
小米9使用纳米全息纹技术。支持游戏场景模式，增强触控模式，显示增强，配备游戏工具箱2.0。",5
39,"小米9优点：

1、性价比非常高，价格厚道，感动人心的定价；

2、采用索尼4800 万像素三摄像头，DxOMark 拍照世界前三，拍照牛X。

3、6.39英寸水滴屏，90.7% 超高屏占比，三星 AMOLED 屏幕

4、高通骁龙855旗舰处理器，性能无敌；

5、配备第五代极速屏下指纹，简直是黑科技；

6、标配27W 有线快充，充满只需1小时；全球首款20W无线闪充，速度堪比有线快充。

7、支持NFC，配备AI键；

8、采用了全曲面轻薄设计，有着怦然心动的好手感。

9、全息幻彩玻璃机身，手心中的梦幻彩虹光。

10、蓝宝石玻璃镜片，超硬耐磨，长久保护。",5
40,手机是真的很好看，真的没吹，手感很舒服，后盖很漂亮，不同的光线角度就会有不同的颜色，真不愧是幻彩，很炫酷。使用了一天来评论的。首先，性能真的很棒，应用都是一点就开的，果然是855，吃鸡都不带卡顿的，打游戏发热也很少，基本可以忽略。然后是系统，小米的MIUI果然很棒，很人性化，直接从小米6****过来的，什么资料都有，很方便。然后是充电，速度很快，轻微的发烫，可能是由于刚开始充电的缘故。总得来说，小米9是真的不错，很值得购买。,5
41,屏幕上，第五代屏幕指纹，相较于小米8解锁速度更快，官方数据为提升25%。三星AMOLED顶级屏，103.8%NTSC超广色域，亮度高达600nit；屏幕低亮度下，色彩保真、Gamma优化；高亮模式平滑过渡；游戏模式画面增强，提升了迷雾、夜景画面对比度，更快发现&ldquo;敌人&rdquo;动态；另外还有获得德国电气工程师协会VDE低蓝光护眼认证的屏幕护眼技术，可以有效预防近视。,5
42,非常好的用机体验！买来为了打王者，用余电打了四局，效果十分好！调到超高清，完全不卡顿，机子很轻薄，屏大感觉好。背壳一点不热，很理想！??,5
43,用了一段时间，米酒不错，充电很快从不到百分10到充满大概一个小时，续航还可以，相机4800万，超广角，微距，夜景都很不错，855处理器配8G运行玩游戏杠杠的，散热也可以。,5
44,刚收到，打开以后，感觉很好，唯一感觉自拍好像不是太好，其它都很好，小米用了很多年了，支持，好评，指纹解锁很快，充电也很快，差不多一个小时就可以充满电了，支持，很多功能还在学习，很好了，,5
45,手感很润滑，屏占比特别大，操作流畅，声音很大，音质还不错，指纹解锁速度很快，就是手指头掉皮的时候影响很大。玩游戏的时候可以调节是否全面屏，看视频的感觉特别棒。总而言之效果很好，用着很舒服。,5
46,手机很不错，移动4G+版，刷机后和全网通没区别，但是要比全网通版便宜。外观很不错，手感也很棒，相机简直太棒了！总体来说很不错。物流也很快，小米加油,5
47,这个幻彩很靓，棒，以后还会多多支持小米手机！忽略我的五块钱，只是找不到什么东西挡串码了！这话颜色很值得入手...够轻薄女生拿起来够面子，男生够酷，喜欢的感觉入手手慢没有哦！还有一个蓝色我觉得应该不错也很美，很靓的！,5
48,很好用，颜值也高，指纹的话没有钢化膜更灵敏，然后手机很流畅，像素好，充电也好快，喜欢呀。,5
49,小米手机一向是我最喜欢的一个手机，这次配了快充，使用起来感觉很好，而且是全面屏水滴屏设计，视觉冲击效果倍儿棒，玩起游戏来，虽然有些发热，但是整体都不会掉帧，体验很棒喔,5
50,特意用了一段时间才过来评价，手机真的很不错，没有网上说的电池不耐用那么夸张，电池也挺好用的，特别是像素特别高照相，真的很棒，样子和颜色真的很喜欢紫色的真的很骚，不管是性能还是啥的，都是挺好的，价格真的很便宜，希望小米越做越好,5
51,手机目前还可以，收到后就打开了，感觉就是不一样，小米手机挺好用的，摄像头也很棒，主要看着他的处理器了，这个价位感觉雷总真的很贴心。赞一个。充电真的很快，很好，然后就想法搞了个车载无线充电，真心实用。,5
52,"真的好用，手感超棒，小爱可爱(?&bull; . &bull;?)，相机让我这个不喜欢拍照的人都心动了（现在还有足够的内存存相片），就是贴好钢化膜，套上手机壳之后，外露的摄像头让人淡淡忧桑

小米6可真好用.滑稽",5
53,"买了给老婆用，之前用的小米5s，中间换过一次电池，机子一直用着不错，只有128g内存快耗尽的时候出现了卡顿现象。这次直接跨越6和8,买了小米9。第一次用全面屏，感觉屏幕真大，拍照很清晰，扬声器声音很大，手感很舒适，平时一天一充，不玩游戏。贴的软膜，指纹识别不是很灵敏。618时买的，性价比不错！",5
54,本来想抢黑色和蓝色结果都没抢到，但是紫色收到也惊艳到了我，外观特别好看，手感也很好，855处理器用起来果然不一样，喜欢，非常喜欢，物流也超级快，说的最迟四月发货，结果隔一天就收到了哈哈哈哈哈哈哈，唯一的缺憾就是没钢化膜,5
55,已经使用快一个月了，适应了之后感觉很顺手，屏幕很灵敏，反应很迅捷，拍照效果很好，充电也很快，玩游戏听音乐都很满意，赞！,5
56,已经用了接近20天，再来评价这款小米九。一只手感非常不错。而且外观设计都非常好。机子性能非常的好。唯一就是电池的容量太小，如果是重度用户，可能用起来一天至少两充。中度用户一天一充即可。无线充电功能非常的棒，非常的方便。这个价位买到这样的机子还是不错的，如果对电池没有过高的要求，那是非常好的。比起荣耀v20要好的多。荣耀二十，比起来也比不过他。,5
57,用了几天来评价，整体感觉很好，机身很漂亮手感也很好，不过喜欢粘指纹，性能很好，用起来很流畅，指纹识别很好用，虽然感觉要比零智商要慢一点，但最多也就一块钱的差距吧,5
58,价格亲民，颜值高，855性能打起游戏很爽，拍照效果很好，使用非常流畅，个人用过的小米最好的一款产品，游戏不卡顿，不发热，无线快充，nfc这些更是这款手机的优点，颜控必备，小爱同学需要改进，总之非常满意，疯狂种草,5
59,很早都购买了 一直也没有时间来评价 外观配色都很不错 系统好评 这个是优势 做备用机用的。电池我不玩游戏 一天够用啦 拍照很好用  自己买了全屏钢化膜带了防摔壳 6加128够用啦 好评啦 虽然现在同价位又出了很多机器 不过买小米9不后悔的 后期用了有空再来追加了,5
60,使用了一段时间后才来评价的，充电超级快，大概1个小时就能从低电量充到满格，太惊讶了，待机时间一般，没有玩游戏，基本1天冲两次，需要加强。运行快，内存大，指纹解锁保密功能很喜欢，很多APP都可以通过指纹加密来使用，让人感觉有安全感，到目前为止，让人很满意。,5
61,9就是买外观，紫色骚气不解释。手感非常棒，外观小米的双玻璃已经是潮流了，玻璃方便，双玻璃机器要做漂亮很难所以说可以在~上买透明版本的自己改装，。2.再说屏幕，屏幕号称三星的屏幕，哦，是三星，然而没有三星的亮度色彩度好，这个屏幕，感觉还是和三星有点差距，意思没有那么艳丽，害得我还检测了一下这到底是不是 oled 屏幕。但是，白色很标准，完虐我之前用的三星S7，亮度也吊打我的三星，更是秒杀我的三星S7，总之，这是一块好屏幕。3.谈一下系统。讲道理，小米的系统真的很一般。内存优化很好，很喜欢这个内存优化。跟三星系统之间大概隔了十个（三星优化真的#）。我三星一年更新一次系统，因为是美版更新很难，总是在刷机,5
62,可以的 ，3299，刚拿到手，就一个机子，没有其他配件，用安兔兔跑分，314000多，比平常的小米9多了3千多分，3D效果很流畅，同时用我的OPPO r11 plus 测试对比 ，果然卡的要死?,5
63,小米9性价比很高，很好，值得购买。正面采用水滴屏设计，屏幕大小6.39英寸，配备了第五代屏幕指纹识别技术，其通过低蓝光护眼认证，下巴仅3.6mm宽，处于行业前列。至于外观设计，小米9这款手机采用的是三星的屏幕，在显示效果上真的非常不错。同时，它的机身也是非常轻薄，仅有171克，手感明显要好于目前大多数采用的升降式摄像头设计的手机。,5
64,"小米9性价比算得上很好了，在众多855处理器，4800万像素，等手机中价格实惠，但它还拥有这无线充电，这个水滴的摄像头我一开始拒绝的，但是拿到手里看起来也不是多么难看，手机买回来也测试了是真机，未激活 ，
在各大平台不断对比，最终选在京东自营，秒杀开始对比下福利就赶紧买了，855是真的快，后台回来进了20多个都运行流畅，像素也是很不错的，感觉分辨率也很好，
幻彩蓝，十分好看，米酒真香机！",5
65,本来预计9号发货的，结果4号就到手了，真的很给力，期待的手机这么快就到了。说说感受，外观上，紫色的手机，金属外壳都可以当镜子了，感觉没有图片上好看，但是比起之前几代已经好看太多，屏幕很大，游戏视频都很过瘾。反应速度也很快，打游戏也很顺畅，拍照比较清晰，主题商店内容也丰富，屏幕清晰，手势操作方便，充电特别快，电量也还可以，不打游戏看视频，外出一天绝对够够的，目前来说很满意，不足之处就是出厂没有手机贴膜，抢货的时候黄牛太多，抢了几次，3000的当时没抢到，买了3300的。用了两天了，后续追评。,5
66,手机轻薄，外观漂亮，全面屏显示效果很好，色彩不错，细腻。.音质明显好于在用的荣耀mg2-反应快，不卡顿。家里使用的四款均华为 ，有意换小米比较，各有所长吧。希望好用，耐用两年。好评。,5
67,性能炸裂，外观很漂亮，4800万拍照确实不错，比米8有提升，细节方面，续航足够使用一天，快充可以，和发布会说的差不多。一小时左右充满电，无线充电很快。体验很好，值得推荐,5
68,4月5日10:05抢到了米9手机，6天后收到货没有那种焦急的等待。因为在小米实体店已看过几次米9了。但真的拿到手后，感觉米9进步很大，颜值高，外观漂亮，特别是幻彩色美啊;性能好，骁龙855确实强大用起来非常流畅，;拍照强，拍照强大，清晰，超广角很喜欢，还有那个全景拍照，拍下了太大的场景;屏幕好，屏幕虽然水滴屏，息屏显示也很漂亮;手感好，拿在手里手感很棒;AI按键非常好用，可以根据需要设置不同的功能，很实用;充电快，27W快充，一个小时充满，还支持20W无线快充，很方便;性价比高，价格亲民，配置高，良心产品。,5
69,官方预约然后抢了好几天都没抢到，还是京东给力，直接就抢到了，而且是特别难抢的高配幻彩紫，打开看真心好看，性能没得说，电量还行吧，基本够用了，相机很给力，场景和功能都很全面，屏幕指纹解锁比预期的要快，总体很不错！,5
70,小米九旗舰机，先简单说说配置6.39的超大水滴屏幕，在极好的观影效果下又不失美感，搭载最新的高通骁龙855，目前安卓最强的处理器，玩游戏基本上没感觉到压力，再加上像素还可以拍月亮，等着中秋节拍月亮了，屏幕分辨率也高,5
71,用了一段时间，送的配件很多，足够用。855系统运行顺畅，拍照不错，有点单反的效果，触屏反应灵敏，手机手感不错，基本可以一天一充，特别喜欢无线充，很快，不过发热也很明显,5
72,这个颜色 酷炫 手机充电很快 用电也很快 用起来暂时还可以没毛病  个人感觉 操作设置方面比华为好 功能比较贴心全面  第一次用小米感觉挺好的哈哈,5
73,刚打开体验了一下    比较满意   特别是手感很舒服  还有好玩的  小爱同学   手机反应速度快  拍照很清晰  至于拍月亮?  今晚没有月亮  以后再体验。,5
74,我来写一篇使用感觉。1.外观。小米9就是买外观，紫色骚气不解释。手感非常棒，外观小米的双玻璃已经是潮流了，玻璃方便，双玻璃机器要做漂亮很难所以说可以在~上买透明版本的自己改装，。2.再说屏幕，屏幕号称三星的屏幕，哦，是三星，然而没有三星的亮度色彩度好，这个屏幕，感觉还是和三星有点差距，意思没有那么艳丽，害得我还检测了一下这到底是不是 oled屏幕。但是，白色很标准，完虐我之前用的三星S7，亮度也吊打我的三星，更是秒杀我的三星S7，总之，这是一块好屏幕。3.谈一下系统。讲道理，小米的系统真的很一般。内存优化很好，很喜欢这个内存优化。跟三星,5
75,小米9，特别棒，性能上处理器骁龙855，拍照上索尼4800万像素，充电上27w有线快充，20w无线快充，外观上极窄下巴，屏幕指纹，全曲面玻璃超薄机身，手感超级棒，性价比超高！从红米1开始一直用小米产品，支持小米！！！,5
76,"3.27报着试试的想法来抢购,第一抢购就抢到了,等得有点久.直到4.2才收到,希望以后不需抢,可以直接购买.等得太难熬.?
言归正转,用了两天过来说两句.手机相当好用,夜拍也很好.声音也很美,好听.使用很流畅,电池3300个人觉得是比较省电.与之前米max4850的比,同是百之百电,早上跑步听歌约1小时,米max你电百分之六十多吧,米9只会少百分之十几.另屏幕清晰画质细腻.相当满意.我还会备了个无线充电宝,无线充电也体验了一把.很不错.自带充电器充电相当神速.给力.我滴神呀,真不知怎么形容了.
但有两点不足.1.等待周期太长.
                         2.卡针与卡槽孔不配,粗了点插不进.
好了,总之.机子相当不错值得购买.",5
77,一天就发货了，第二天收到了，首先手机很不错，手感很好，很轻薄，媲美iPhone7了，因为之前用的是iPhone7，因为实在太耗电了就换小米9，一直都是米粉。挺好的，手机配置啥的就不用说了，充电一个小时就充满了，27W的确很快，耗电还行吧，充电快解决了，用过一段时间的红米Note7，4000毫安的电池确实很耐电&hellip;&hellip;总之就是很满意！,5
78,超级满意！！！！本来担心续航，到使用下来，对我这种不打游戏的人，一天够用。充电速度，重量，外观，屏幕没有短板。最意外的是音质超棒。。。雷总这次真的很ok！,5
79,"京东物流没得说，很快。
手机上手感十足，背面的玻璃后壳骚的一匹，不过我喜欢，哈哈?
前置水滴屏，可以接受，拍照效果不错，至少比我原来的小米mix2有很大的提升。
充电速度也快，855的处理器强悍，玩游戏有新的游戏加载模式，让我很欣慰，搭载最新MIUI10系统，流畅度可见一斑呀！
祝米九大卖吧！",5
80,外观非常喜欢，后背很漂亮。拍照挺好的，比竟4800万像素，反应速度很快，玩游戏杠杠的。测试跑分37万+分，唯一不足就是电池，电池中度使用一天没问题，电池容量4000就完美了。,5
81,屏幕显示很清晰，反应速度也很快，本来以为电池不禁用，但是我到手以后，不玩游戏待机还是够用的，真心觉得现在的安卓不像以前了，反应速度快的不行，脸部解锁快到我都看不到锁屏界面，握持手感也很好，很贴手，重量也很轻！,5
82,"作为最早的一批米粉，也曾经是100台米1工程机的拥有者，说起来也没啥好处，就是1699元买，免费换米1正式版，时至今日，用过米1 2 4 5 ，小米note1，2，直到小米6，至今未换，19年新年拿到一台红米note7，用了一个新年假期，算是第一次拥抱全面屏，1199的价格也是非常超值，直到4.1日，没错，就是愚人节那天终于拿到了貌似很香的米9。

闲话少叙，优点不必多说，外观轻薄，十分的圆润。

对比米8，米9的屏幕非常给力，确实已经颠覆了AMLOED屏在我心中的印象，颜色对比自然胜出，低亮度下也表现良好，几乎接近完美，所以这块屏幕我给95分。


摄像头很给力，拍了深圳的新版灯光秀，夜景相当给力，白天不必多说，非常优秀，微距及广角都十分实用，好久没有用过微距给力的手机，久违了。

也许是我指纹太浅，屏下指纹识别率不算很高，所幸已经习惯使用人脸识别解锁，问题不大。

本来打算替换掉老旧笨重的米6，可是突发情况打消了我的念想，与米6纯平的摄像头不同，新的索尼586摄像头高",5
83,已经用了一段时间了，透明版好有型！嘻嘻！也不厚重，开机按钮红色的很特别。用起来很流畅，很快！拍照功能强大，AI智能相机能够自动识别被拍物，是花是叶子都能识别出来，拍出的照片很好看！,5
